gold_label,gold_reason,draft_label,meeting_date,meeting_no,ministry,topic,top_title,question_type,question_text
gold_positive_v1,prices_burden:물가,확정,2025-06-10,25,기획재정부,대선·박찬대·경제,"박찬대 ""경제 회복 위한 추경 편성…물가 관리 TF 구성""",대안 요구,"탄소배출권 제도로 하면 기업의 입장에서는 이해관계가 조성되는데, 물가 오르는 것에 대한 부담은 국민들이 질 것으로 생각함. 거기에 대해서 국민들의 부담을 지원해 주는 것은 없는지?"
gold_positive_v1,industrial_accident:산재,확정,2025-09-02,40,고용노동부,김영훈·노동부·산재,"김영훈 노동부 장관 ""산재 사망자 OECD 평균 수준 감축…직 걸겠다""",검토결과 확인,"규정 개정을 한번 검토해 보시기 바람. 그다음에 하도급의 부실 공사, 산재, 임금체불 등 모든 문제는 원청 아닌지?"
gold_positive_v1,cambodia_crime:범죄,확정,2025-10-14,45,법무부,캄보디아·한국인·범죄,캄보디아 한국인 실종·납치·감금 신고 486건..정부 전방위 대응,대안 요구,"그런데 이 사람들 데리고 오면 범죄 사실에 대한 증거는 어떻게 확보하며, 재판은 가능한 것인지?"
gold_positive_v1,cambodia_crime:범죄,확정,2025-10-14,45,법무부,캄보디아·한국인·범죄,캄보디아 한국인 실종·납치·감금 신고 486건..정부 전방위 대응,현황 질문,"63명은 구금 시설에 들어가 있는데, 이 사람들은 범죄 현장에서 체포된 사람들인지?"
gold_positive_v1,cambodia_crime:범죄,확정,2025-10-14,45,법무부,캄보디아·한국인·범죄,캄보디아 한국인 실종·납치·감금 신고 486건..정부 전방위 대응,현황 질문,"강제로 했냐, 자발적으로 했냐의 차이는 있겠지만 범죄 행위에 가담한 사람들인지?"
gold_positive_v1,"cambodia_crime:캄보디아,범죄",확정,2025-10-14,45,법무부,캄보디아·한국인·범죄,캄보디아 한국인 실종·납치·감금 신고 486건..정부 전방위 대응,현황 질문,"대한민국 국민 중에 캄보디아에 가서 이런 범죄 행위에 가담하고 있는 사람이 자의든, 타의든 대략 얼마쯤 되는지?"
gold_positive_v1,middle_east_macro:중동,확정,2026-03-05,8,기획재정부,부산시·시는·중동,"부산시, 중동 정세 대응 긴급 점검회의…경제 충격 최소화",대안 요구,"제가 해외에 나가 있는 며칠 사이 많은 일들이 벌어진 것 같음. 우리 대한민국은 지금까지 수없이 많은 위기 상황을 슬기롭게 극복해 왔음. 우리 국민의 단합된 힘으로 또 대한민국의 저력으로 지금의 혼란도 큰 무리 없이 잘 이겨낼 것이고, 넘어진 김에 쉬어간다고 오히려 좋은 기회로 만들 수 있을 것임. 중동 지역 위기가 고조되면서 글로벌 경제 안보 환경이 많이 악화되고 있음. 세계 각국 금융시장이 불확실성에 직면한 가운데 에너지 수급, 수출입 불안으로 경제 산업과 경제 전반에 상당한 어려움이 예상됨. 각 부처는 엄중한 상황 인식을 바탕으로 예상 가능한 모든 문제에 대해서 신속히 대처하고 빠짐없이 세밀하게 추진해 나가야겠음. 첫째, 주식 환율 등 금융시장 변동성 확대에 적극적으로 대응해야 함. 정부는 자본시장 안정과 체질 개선을 위한 정책적 노력을 가속화하고 자본시장 불안을 사전 차단하기 위해 마련된 100조 원 규모 시장 안정 프로그램을 적절하게 또 신속하게 집행하고 관리해 주시기 바람. 이럴 때 기승을 부리는 게 가짜뉴스인데, 시세 교란 같은 범죄행위도 철저히 차단하길 바람. 특히, 국민 경제의 혼란을 조장해서 이익을 취하려는 세력들에 대해서는 무관용의 원칙으로 엄중하게 책임을 물어야겠음. 둘째, 민생과 산업 경제 전반에 걸쳐서 직접적인 영향을 미치는 에너지 수급과 가격 불안정 역시 각별하게 신경을 써야 하겠음. 원유, 가스, 나프타 등에 대한 긴급 수급 안정책과 함께 중장기적으로 수입처를 다각화하는 방안을 신속하게 추진해 주시기 바람. 어려운 시장 환경을 악용해서 매점매석이나 불합리한 폭리를 취하려는 시도는 "
gold_positive_v1,middle_east_macro:중동,확정,2026-03-10,9,기획재정부,가격·교란·집중,"경찰, 석유 가격 교란 집중 단속…중동 대사관 경비 강화",예산/재정 확인,"대내외적으로 여러 가지 어려움들이 닥치고 있음. 우리는 자주 위기를 겪고 있고, “위기는 기회다.” 이런 말도 자주 함. 위기가 닥쳤을 때 그 위기를 제대로 이겨내지 못하는 것은 무능한 것임. 위기를 극복하는 것은 당연한 것임. 위기를 기회로 만드는 것이 진짜 실력임. 위기가 닥치면 변화를 수용할 마음의 준비가 갖춰지고, 소위 말하는 기득권도 저항하기가 쉽지 않게 됨. 그래서 지금 이 위기 상황을 기회 요인으로 바꾸는 것, 이것이 정말 우리가 해야 할 일임. 현 상황이라고 하는 것은 매우 복합적이어서 그 안에 위기적 요인과 기회적 요인이 뒤섞여 있는데 기회적 요인, 즉 좋은 측면이 많은 것을 보통 우리는 기회라고 말하고, 나쁜 측면이 많은 것을 위기라고 말함. 국면이라고 하는 것은 우리가 어쩔 수 없는 외부 요인, 어쩌면 자연재해 비슷한 것일지도 모름. 그런데 이 중에 나쁜 요인을 최소화하고, 좋은 측면을 최대한 키우면 위기 상황이 기회 상황이 되기도 하는 것임. 우리는 권한이라고 하는 것을 가지고 있기 때문에 있는 상황을 잘 정리하고, 그중에서도 위협 요소 또 나쁜 요소들을 최소화하고 좋은 요소들을 극대화할 그런 힘이 있음. 이 힘을 잘 활용해서 현재 상황을 잘 정리하면 더 좋은 상황을 얼마든지 만들어낼 수 있고 저는 그것이 진정한 실력이라고 생각함. 예를 들어, 우리가 시험을 볼 때 시험 문제가 어려워지면 낙담하고, 시험 문제가 쉬워지면 좋아하는 경향이 있음. 그런데 자세히 제3자적 관점에서 보면 시험이 어려워도 모두가 똑같이 어려운 것이지, 나만 어려운 것은 아님. 시험이 쉬우면 다른 사람도 마찬가지로 "
background_v1,같은 정책영역 배경이나 직접 소재 아님,배경,2025-10-21,46,보건복지부,비상진료체계·오늘부터·해제,비상진료체계 오늘부터 해제…1년 8개월 만에 '의료대란' 공식 종료,부처협의 확인,"어제 코스피 지수가 사상 최초 3,800선을 넘어서고 오늘도 사상 최고가를 갱신하고 있는 것 같음. 주식 시장이 정상화 흐름을 타고 있음. 지금 특별한 엄청난 성과가 있어서라기보다는 당연히 있어야 할 자리로 되돌아가는 중이라는 생각이고, 여기에 더해서 이제 정책 효과가 더해지고 실질적인 성과가 나면 더 나은 결과가 생길 수 있을 것으로 보임. 비생산적인 분야에 집중됐던 과거의 투자 방식에서 벗어나 국민들의 자산 증식 수단이 차츰 다양화, 건실화되는 과정이라고 생각되며 아직도 가야 할 길은 멀었음. 생산적 금융으로 전환 추세가 더 굳건히 뿌리내리려면 일관되고 실효성 있는 정책을 통해서 우리 사회 전체의 인식을 바꿔야 함. 특히 이를 위해서는 가용한 정책 수단 역량을 집중적으로 투입해서 경고등이 켜진 비생산적 투기 수요를 철저하게 억제해야 함. 그래야만 합리적이고 지속 가능한 투자 문화가 정착되고 이를 바탕으로 경제 산업과 국민 자산의 동반 성장이 실현될 수 있을 것임. 정부 각 부처는 국민 경제를 왜곡하는 투기 차단에 총력을 기울여 주시기 바람. 의료 대란으로 발령된 보건의료 위기 경보 심각 단계가 어제 해제됐음. 이로써 장기간 이어진 비상 진료 체계가 1년 8개월 만에 끝났음. 어려운 여건에도 묵묵히 환자의 곁을 지킨 현장 의료진, 119구급대원을 비롯한 모든 공직자 여러분께 깊이 감사드림. 큰 불편을 겪으신 우리 국민 여러분께도 감사와 함께 송구하다는 말씀을 드림. 국민의 생명과 직결된 사안을 충분한 정책적 고려나 협의 없이 일방적으로 밀어붙인 탓에 그간 국민이 입은 피해가 이루 말할 수 없이 컸음. 관계 "
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-06-05,24,행정안전부,고기동·행안부·대통령선거,대통령선거 투·개표 지원상황 점검하는 고기동 행안부 장관 직무대행,검토결과 확인,건설 현장에서 하도급업체에 대금 미지급이 문제가 많은 것 알고 있는데 그중에 제일 큰 게 인건비라고 알고 있음. 민간 부문에서는 아직도 이런 문제가 많이 발생하는 것 같은데 표준 약관이라도 만들어서 인건비는 직접 지급할 수 있게 하는 부분을 검토해 주시기 바람. 그리고 현재 공정위 직원이 많이 부족한 것으로 알고 있는데 행안부 등 관계 부처에서는 공정거래위원회에서 공정거래 사건을 원활히 처리할 수 있도록 인력 문제 등에도 협조를 부탁드림.
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-06-05,24,행정안전부,고기동·행안부·직무대행,"고기동 행안부 장관 직무대행, 투·개표 지원상황실 직원 격려",검토결과 확인,건설 현장에서 하도급업체에 대금 미지급이 문제가 많은 것 알고 있는데 그중에 제일 큰 게 인건비라고 알고 있음. 민간 부문에서는 아직도 이런 문제가 많이 발생하는 것 같은데 표준 약관이라도 만들어서 인건비는 직접 지급할 수 있게 하는 부분을 검토해 주시기 바람. 그리고 현재 공정위 직원이 많이 부족한 것으로 알고 있는데 행안부 등 관계 부처에서는 공정거래위원회에서 공정거래 사건을 원활히 처리할 수 있도록 인력 문제 등에도 협조를 부탁드림.
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-06-19,26,기획재정부,김민석·공직·기강,"김민석, 공직 기강 다잡기…""3년간 후진…100일간 전속력 달려야""",예산/재정 확인,"제가 일반적인 말씀을 하나 드리고 싶음. 우리가 행정을 하다 보면 대개 행정 공급자 중심의 사고를 하는 경향들이 많이 있음. 그런데 그것은 악의가 있는 것이 아니고 오랫동안 일을 하다 보면 아주 자연스럽게 되는 것 같음. 똑같은 정책을 결정하더라도 정책 수요자들의 입장을 물어보고 그들이 원하는 내용을 들어보고 결정하는 것과 우리가 일방적으로 정해서 통보하는 것은 내용은 똑같지만, 수용성에 있어서는 완전히 다름. 예를 들어, 정책 수요자들한테 어떤 제재나 불이익을 주는 내용도 미리 한 번 의논하고 의견을 듣는 것과, 일방적으로 통보하여 시행하는 것은 수용성에 있어 큰 차이가 있음. 요즘은 결과도 중요하지만, 그 결과에 이르는 과정들을 매우 중시하는 사회 문화 때문임. 요즘은 상품의 본질적 내용도 중요하지만, 그것을 어떻게 포장하느냐, 스토리를 어떻게 부여하느냐에 따라서 완전히 다른 결과를 만들어냄. 우리가 가난했던 시절에는 밥 많이 주면 좋아했지만, 이제는 어떤 정도 여유가 갖춰지다 보니 어떤 방식으로 주느냐, 어떻게 처리해서 주느냐, 어떻게 포장해서 주느냐 등이 더 중요해진 측면이 있음. 그것이 어쩌면 민주주의에 대한 수요일 수 있음. 내 의견이 존중받았느냐 아니면 무시당했느냐가 결과보다 더 중요한 시대가 된 것임. 오늘 정책안들도 보면 대체로 잘 준비해 주셨지만, 그 정책의 영향이 어디에, 어떻게 미칠지에 대해서 방향이 조금 다르게 느껴지는 정책들도 있었음. 제가 공개적으로 말씀드리지는 않겠지만, 그런 점들을 좀 더 깊이 생각해 주시면 좋겠음. 그리고 계속 강조하는 것인데, 우리가 쓰는 시간의 양은 곱하기 "
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-06-19,26,행정안전부,업무·대해·대변인은,"[국정기획위] 오늘 첫 업무보고에서 ""잠재성장률 제고 논의""",대안 요구,"성남시에서 하던 것이 있으니까, 시행령이나 지침이나 근거를 만들어서 하면 될 것 같은데, 행안부에서 챙겨주시기 바람. 그리고 방송개혁안은 지금 논의 안 하는지? 가능하면 정치나 방송이 관여하지 않게 자율적이거나 민간 통제하에 있게 만들어야 하지 않을까 싶음."
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-07-08,30,기획재정부,거제시·주요·07,"거제시, 남부내륙철도 등 주요 현안사업 국비 확보 위해 기재부 방문",예산/재정 확인,"조금 더 검토해 주시고, 다음 얘기가 사실 그런 주제와 관련이 있어 보임. ㅇ 조달청차장 백승보 이어서 보고드림. 중소‧벤처‧창업 기업의 성장을 촉진하는 혁신조달을 강화하도록 하겠음. 조달청은 정부가 위험을 감수하고 상용화 이전 제품들을 선도적으로 구매하는 것이 굉장히 중요하다는 생각을 해왔고 그에 따라 혁신조달 제도를 2019년도에 도입해 지금 운영하고 있음. 그래서 AI나 로봇, 기후테크 등의 신성장 산업이나 스타트업을 중심으로 혁신조달을 발전시켜 나가고자 함. 먼저 조달청 예산으로 혁신 제품을 구매하여 수요기관이 무상으로 테스트할 기회를 주고 그 결과에 따라 제품 개선이나 상용화를 돕는 국내 시범 구매와 함께 혁신 제품을 해외 공공기관에 실증할 수 있는 기회를 주어 그것들을 주변 국가로 연계 수출하도록 하는 해외 실증을 중점적으로 확대해 나가도록 하겠음. 이 혁신조달이 기업 성장과 우리 경제 성장 잠재력 강화 측면에서 매우 실효성 있는 정책이라고 저희들은 판단하고 있고 그에 따라 지속적으로 확대해야 될 상황이라고 생각함. 다만, 이게 활성화가 되기 위해서는 적극적인 제품 발굴과 함께 구매 예산이 필수적으로 동반되어야 하는 사안이라 기재부 등 관계 부처의 적극적인 협조를 부탁드림."
gold_negative_v1,구체 사건/정책 객체 공유 부족: 구체 이슈어가 대표 기사와 대통령 발언에 함께 나타남: 지방정부,확정,2025-07-22,32,행정안전부,도시·기획·고양시에,[기획] 고양시에 22개국 220개 지방정부 한자리,대안 요구,"산재사고도 매우 원시적이고, 특히 돈 벌겠다고 사람 목숨 희생시키는 것은 아예 상상을 못 하게 만들어야 되는데, 노동부에서 할 수 있는 일이 꽤 많이 있을 것임. 지금 산업안전보건 관리를 할 선제적 대응 인력 300명을 뽑으라고 지시해 놓은 상태이고, 지방정부 공무원들한테도 특사경 권한 부여가 필요한지 정리해서 특히 공장이나 건설이 많은 지역에는 지방공무원들도 담당하게 하고, 대신 사고 예방이 가능한데 사고가 난 경우는 책임을 물을 수 있는 근거를 만들어야 함. 노동부 장관이 각별히 노동문제에 관심이 높으실 테니까, “산재 사망률 1위” 이런 소리는 앞으로 안 나오도록 최대한 대처해 주시기 바람."
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-07-22,32,기획재정부,동두천시·지역경제·중장기발전종합계획,"동두천시 중장기발전종합계획, 지역경제 중장기 성장 전략 가동",예산/재정 확인,"전략 작물 직불금 대상은 그런 데를 골라서 해야 함. 일률적으로 저지대, 평야 지대에 하니까 당연히 물에 잠기는 것임. 정책을 설계할 때 좀 더 세밀하게 하면 예산을 줄일 수 있지 않나 생각함. 그리고 시도별로 면적 대비 퍼센트로 균일하게 배분하여 정하는지?"
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-08-29,39,행정안전부,폐지된·경찰국·3년,3년 만에 폐지된 행안부 경찰국,부처협의 확인,"법무부 검찰개혁 관련해서 말이 많던데, 의견 조정을 하라고 했는데 실질적인 안을 도출하는 것이 아니고 샅바 싸움하듯이 “법무부 소속이냐, 행안부 소속이냐?” 그렇고, “행안부” 하면 나쁜 사람 이렇게 가고 있던데 그렇게 하면 안 되고 토론 문화를 정착시켜야 함. 좀 부딪히는 문제가 있는데, 이 쟁점을 뽑아서 원활하게 제대로 수사가 잘 되게 하는 방법이 뭐냐?, 지휘에 문제가 있으면 지휘를 잘하자는 취지고 악용 안 되게 하자는 것임. 그러면 악용되는 것을 어떻게 막을지를 논쟁해야 함. “구체적 통제 방법이 뭐냐?” 아이디어를 내서 정말로 행안부에 소속하는 것이 문제가 되면 그 문제 되는 원인을 제거하는 방법이 뭔지를 놓고 토론을 해봐야 함. 발생이 의심되는 문제들을 예방하는 방법이 무엇인지 법무부가 안을 냈어야 하는 것임."
